Matricule,competence,niveau
131DATA059,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
131DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 3, 3, 3, 4, 3, 4, 3, 3, 3]"
132DATA033,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 4, 3, 3, 3, 3, 3, 3, 3, 4]"
132DATA036,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 3, 2, 3, 2, 3, 3, 3, 3]"
132DATA038,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 3, 3, 3, 2, 5, 3, 2]"
132DATA040,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
132DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 4, 3, 3, 3, 5, 4, 4, 4]"
132DATA043,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 2, 4, 3, 3, 3, 3, 5, 2, 2]"
132DATA047,"['Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's""]","[2, 3, 3, 5, 4, 3, 3, 2, 3, 3]"
132DATA059,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
132DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 2, 3, 5, 3, 3]"
133DATA009,"[""Pilotage KPI's"", 'Respect Règles', 'Action pédagogique', 'Motivation', 'Mindset', 'Gestion des émotions', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Périmètre et Outils', 'Responsabilisation', 'Produit', 'Communication', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3]"
133DATA030,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 2, 2, 2, 5, 5, 1, 3]"
133DATA032,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 2, 3, 3, 2, 2, 3, 3]"
133DATA034,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 4, 4, 4, 4, 4, 5, 4, 1]"
133DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 3, 3, 3, 3, 3, 5, 5, 2, 2]"
133DATA043,"['Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's""]","[2, 3, 2, 5, 2, 3, 5, 2, 2, 3]"
133DATA044,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 5, 5, 3, 3]"
133DATA045,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
133DATA046,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
133DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
133DATAE21,"['Périmètre et Outils', 'Responsabilisation', 'Communication', 'Management', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Mindset', 'Gestion des émotions']","[4, 4, 4, 3, 3, 4, 4, 3, 3, 3]"
133DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 3, 3, 3, 3, 3, 3, 2, 3]"
134DATA009,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
134DATA039,"['Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client']","[2, 1, 2, 3, 4, 2, 2, 2, 2, 2]"
134DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 5, 3, 3]"
134DATA042,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 4, 3, 3, 3, 5, 3, 2]"
134DATA043,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 2, 2, 2, 2, 5, 2, 2]"
134DATA044,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 3, 4, 3, 3, 4, 3, 5, 4, 3]"
134DATA046,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 2, 3, 3, 3, 2, 3, 3, 3, 2]"
134DATA047,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 2, 2, 3, 3, 3, 5, 4, 2]"
134DATA058,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[2, 3, 3, 3, 3, 3, 3, 4, 3, 3]"
134DATAE20,"['Périmètre et Outils', 'Responsabilisation', 'Communication', 'Management', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Mindset', 'Gestion des émotions']","[3, 4, 2, 3, 3, 4, 3, 4, 2, 2]"
134DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 5, 3, 3, 3, 5, 3, 2, 3, 3]"
135DATA007,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Management', ""Pilotage KPI's"", 'Gestion Motivation', 'Ecoute et Gestion des émotions']","[3, 2, 2, 3, 3, 2, 2, 2, 3, 3]"
135DATA036,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 4, 5, 3, 3]"
135DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 2, 3, 3, 3, 5, 5, 2, 2]"
135DATA042,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 3, 3, 2, 3, 5, 5, 2, 3]"
135DATA058,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 3, 3, 3, 3, 3, 5, 3, 2]"
135DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
135DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 3, 2, 3, 5, 3, 2, 3, 2]"
136DATA000,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Gestion Motivation', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Relation Client', ""Pilotage KPI's"", 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence']","[4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3]"
136DATA009,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Management', ""Pilotage KPI's"", 'Gestion Motivation', 'Ecoute et Gestion des émotions']","[3, 3, 2, 4, 3, 4, 2, 3, 3, 2]"
136DATA033,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 4, 3, 4, 4, 4, 3, 3, 4]"
136DATA037,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 3, 3, 2, 3, 4, 3, 3, 2, 4]"
136DATA042,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 2, 2, 3, 3, 5, 3, 3]"
136DATA043,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[2, 3, 3, 2, 2, 3, 3, 5, 5, 3]"
136DATA045,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 2, 3, 3, 5, 2, 2, 5]"
136DATA058,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 4, 3, 3]"
136DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
136DATAM00,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 3, 3, 5, 5, 5, 5, 3, 5]"
137DATA009,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 4, 4, 4, 4, 4, 4, 3, 4, 4]"
137DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 4, 4, 4, 3, 4, 5, 4, 3, 4]"
137DATA043,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
137DATA058,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 5, 3, 3]"
137DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
137DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 3, 3, 3, 3, 3, 3, 2, 3]"
138DATA038,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 5, 5, 2, 3]"
138DATA043,"['Périmètre et Outils', 'Responsabilisation', 'Produit', 'Communication', ""Pilotage KPI's"", 'Respect Règles', 'Mindset', 'Gestion des émotions', 'Communication', 'Management', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Action pédagogique', 'Motivation', 'Mindset', 'Gestion des émotions', 'Périmètre et Outils', 'Responsabilisation']","[3, 5, 3, 3, 3, 4, 3, 4, 4, 5, 3, 3, 3, 4, 5, 3, 3, 2, 3, 3]"
138DATA044,"['Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client']","[3, 5, 3, 4, 3, 4, 3, 4, 3, 4]"
138DATA045,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
138DATA058,"['Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's""]","[3, 3, 4, 5, 3, 3, 3, 3, 3, 3]"
138DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 2, 2, 3, 3, 3, 3, 3]"
139DATA008,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]"
139DATA039,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 4, 3, 3, 3, 3, 2, 3]"
139DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 2, 3, 3, 5, 5, 2, 3]"
139DATA042,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Management', ""Pilotage KPI's"", 'Gestion Motivation', 'Ecoute et Gestion des émotions']","[3, 3, 4, 3, 4, 3, 3, 3, 3, 4]"
139DATA044,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 5, 3, 2, 3, 3, 5, 5, 2, 5]"
139DATA046,"['Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's""]","[3, 3, 4, 5, 2, 3, 3, 3, 3, 4]"
139DATA058,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 2, 2, 3, 2, 5, 5, 3, 2]"
139DATA059,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 3, 2, 3, 5, 5, 2, 2]"
139DATAM00,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 4, 3, 5, 5, 4, 4, 3, 4]"
140DATA009,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 4, 3, 4, 4, 4, 3, 4, 4]"
140DATA033,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 3, 3, 3, 3, 5, 5, 3, 3]"
140DATA037,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 3, 3, 1, 3, 3, 5, 3, 3]"
140DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Mindset', 'Gestion des émotions', 'Mindset', 'Gestion des émotions', 'Périmètre et Outils', 'Responsabilisation', 'Communication', 'Management', 'Produit', 'Communication', ""Pilotage KPI's"", 'Respect Règles', 'Action pédagogique', 'Motivation', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Périmètre et Outils', 'Responsabilisation']","[4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 2, 3, 4, 4, 4, 3, 3, 2, 5, 2, 5, 2, 3, 5, 3, 4, 3, 3]"
140DATA042,"['Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's""]","[3, 3, 5, 5, 3, 3, 3, 3, 3, 3]"
140DATA043,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 3, 2, 2]"
140DATA058,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 4, 4, 4]"
140DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 3, 3, 3, 3, 3, 3, 2]"
140DATAM00,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[2, 3, 3, 3, 3, 3, 3, 3, 2, 2]"
141DATA032,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 3, 3, 3, 2, 3, 3, 3, 3]"
141DATA035,"['Périmètre et Outils', 'Responsabilisation', 'Communication', 'Management', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Mindset', 'Gestion des émotions']","[4, 3, 3, 3, 3, 4, 3, 4, 3, 3]"
141DATA036,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Gestion Motivation', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Relation Client', ""Pilotage KPI's"", 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 3, 3]"
141DATA040,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 3, 3, 2, 3, 3, 2, 2, 3, 3]"
141DATA041,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Gestion Motivation', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Gestion admin et Respect des règles', 'Coaching', 'Management', ""Pilotage KPI's"", 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence']","[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 4, 5, 4, 4, 3, 3]"
141DATA043,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4]"
141DATA044,"['Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions', 'Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client']","[5, 5, 3, 3, 3, 3, 3, 3, 3, 3]"
141DATA047,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 2, 3, 2, 3, 2, 5, 5, 3, 2]"
141DATA058,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 2, 2, 3, 3, 5, 5, 3, 3]"
141DATAM00,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 4, 3, 3, 5, 3, 4]"
142DATA009,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[4, 4, 4, 4, 4, 4, 3, 4, 3, 4]"
142DATA032,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 3, 3, 3, 3, 3, 3, 5, 3, 2]"
142DATA036,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[2, 2, 2, 2, 2, 3, 1, 3, 1, 3]"
142DATA040,"['Périmètre et Outils', 'Responsabilisation', 'Communication', 'Management', ""Pilotage KPI's"", 'Respect Règles', 'Relation Client', 'Motivation', 'Mindset', 'Gestion des émotions']","[3, 4, 3, 5, 3, 4, 4, 3, 4, 3]"
142DATA042,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[4, 3, 3, 3, 3, 3, 2, 5, 4, 4]"
142DATA045,"['Respect Règles', 'Ecoute et Gestion des émotions', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Langue', 'Excellence']","[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]"
142DATA046,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[3, 2, 3, 3, 3, 3, 5, 5, 3, 2]"
142DATA060,"['Langue', 'Excellence', 'Produit et Outils', ""KPI's"", 'Traitement', 'Demande/Besoin Client', 'Assistance', 'Polyvalence', 'Respect Règles', 'Ecoute et Gestion des émotions']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
